identifier,source_ref,expected_title,observed_title,expected_dimension,observed_dimension,expected_indicator,observed_indicator,indicator_id,status,error
urn:sds:reg:esrs:bp_2_27,ESRS Official,Disclosure of metrics related to sustainability matters assessed to be material (phase-in),Disclosure of metrics related to sustainability matters assessed to be material (phase-in),Transversal,Transversal,Disclosure of metrics related to sustainability matters assessed to be material (phase-in),Disclosure of metrics related to sustainability matters assessed to be material (phase-in),urn:ngsi-ld:Indicator:Disclosure_of_metrics_related_to_sustainability_matters_assessed_to_be_material_phase-in_,success,
urn:sds:reg:gri:gri_101_6_a,GRI Official,"for each site reported under 101-5-a where its activities lead or could lead to land and sea use change, report:","for each site reported under 101-5-a where its activities lead or could lead to land and sea use change, report:",E,E,"for each site reported under 101-5-a where its activities lead or could lead to land and sea use change, report:","for each site reported under 101-5-a where its activities lead or could lead to land and sea use change, report:",urn:ngsi-ld:Indicator:for_each_site_reported_under_101-5-a_where_its_activities_lead_or_could_lead_to_land_and_sea_use,success,
urn:sds:reg:esrs:e1_1_01,ESRS Official,Disclosure of transition plan for climate change mitigation,Disclosure of transition plan for climate change mitigation,E,E,Disclosure of transition plan for climate change mitigation,Disclosure of transition plan for climate change mitigation,urn:ngsi-ld:Indicator:Disclosure_of_transition_plan_for_climate_change_mitigation,success,
urn:sds:reg:gri:gri_101_6_a_i,GRI Official,"the size in hectares of natural ecosystem converted since a cut-off or reference date, the cut-off date or reference date, and the type of ecosystem before and after conversion;","the size in hectares of natural ecosystem converted since a cut-off or reference date, the cut-off date or reference date, and the type of ecosystem before and after conversion;",E,E,"the size in hectares of natural ecosystem converted since a cut-off or reference date, the cut-off date or reference date, and the type of ecosystem before and after conversion;","the size in hectares of natural ecosystem converted since a cut-off or reference date, the cut-off date or reference date, and the type of ecosystem before and after conversion;",urn:ngsi-ld:Indicator:the_size_in_hectares_of_natural_ecosystem_converted_since_a_cut-off_or_reference_date_the_cut-of,success,
urn:sds:reg:esrs:e1_1_02,ESRS Official,Explanation of how targets are compatible with limiting of global warming to one and half degrees Celsius in line with Paris Agreement,Explanation of how targets are compatible with limiting of global warming to one and half degrees Celsius in line with Paris Agreement,E,E,Explanation of how targets are compatible with limiting of global warming to one and half degrees Celsius in line with Paris Agreement,Explanation of how targets are compatible with limiting of global warming to one and half degrees Celsius in line with Paris Agreement,urn:ngsi-ld:Indicator:Explanation_of_how_targets_are_compatible_with_limiting_of_global_warming_to_one_and_half_degree,success,
urn:sds:reg:gri:gri_101_6_a_ii,GRI Official,"the size in hectares of land and sea converted from one intensively used or modified ecosystem to another during the reporting period, and the type of ecosystem before and after conversion;","the size in hectares of land and sea converted from one intensively used or modified ecosystem to another during the reporting period, and the type of ecosystem before and after conversion;",E,E,"the size in hectares of land and sea converted from one intensively used or modified ecosystem to another during the reporting period, and the type of ecosystem before and after conversion;","the size in hectares of land and sea converted from one intensively used or modified ecosystem to another during the reporting period, and the type of ecosystem before and after conversion;",urn:ngsi-ld:Indicator:the_size_in_hectares_of_land_and_sea_converted_from_one_intensively_used_or_modified_ecosystem_t,success,
urn:sds:reg:esrs:e1_1_03,ESRS Official,Disclosure of decarbonisation levers and key action,Disclosure of decarbonisation levers and key action,E,E,Disclosure of decarbonisation levers and key action,Disclosure of decarbonisation levers and key action,urn:ngsi-ld:Indicator:Disclosure_of_decarbonisation_levers_and_key_action,success,
urn:sds:reg:gri:gri_101_6_b,GRI Official,"for each site reported under 101-5-a where its activities lead or could lead to the exploitation of natural resources, report:","for each site reported under 101-5-a where its activities lead or could lead to the exploitation of natural resources, report:",E,E,"for each site reported under 101-5-a where its activities lead or could lead to the exploitation of natural resources, report:","for each site reported under 101-5-a where its activities lead or could lead to the exploitation of natural resources, report:",urn:ngsi-ld:Indicator:for_each_site_reported_under_101-5-a_where_its_activities_lead_or_could_lead_to_the_exploitation,success,
urn:sds:reg:esrs:e1_1_04,ESRS Official,Disclosure of significant operational expenditures (Opex) and (or) capital expenditures (Capex) required for implementation of action plan,Disclosure of significant operational expenditures (Opex) and (or) capital expenditures (Capex) required for implementation of action plan,E,E,Disclosure of significant operational expenditures (Opex) and (or) capital expenditures (Capex) required for implementation of action plan,Disclosure of significant operational expenditures (Opex) and (or) capital expenditures (Capex) required for implementation of action plan,urn:ngsi-ld:Indicator:Disclosure_of_significant_operational_expenditures_Opex_and_or_capital_expenditures_Capex_requir,success,
urn:sds:reg:gri:gri_101_6_b_i,GRI Official,"for each wild species harvested, the quantity, the type, and extinction risk;","for each wild species harvested, the quantity, the type, and extinction risk;",E,E,"for each wild species harvested, the quantity, the type, and extinction risk;","for each wild species harvested, the quantity, the type, and extinction risk;",urn:ngsi-ld:Indicator:for_each_wild_species_harvested_the_quantity_the_type_and_extinction_risk_,success,
