identifier,source_ref,dimension,dataset_id,indicator_id,policy_count,status,error
urn:sds:reg:esrs:e1_3_07,ESRS Official,E,urn:ngsi-ld:Dataset:esrs_e1_3_07,urn:ngsi-ld:Indicator:Explanation_of_relationship_of_significant_CapEx_and_OpEx_required_to_implement_actions_taken_or,2,success,
urn:sds:reg:esrs:e1_3_08,ESRS Official,E,urn:ngsi-ld:Dataset:esrs_e1_3_08,urn:ngsi-ld:Indicator:Explanation_of_relationship_of_significant_CapEx_and_OpEx_required_to_implement_actions_taken_or,2,success,
urn:sds:reg:esrs:e1_4_01,ESRS Official,E,urn:ngsi-ld:Dataset:esrs_e1_4_01,urn:ngsi-ld:Indicator:Disclosure_of_whether_and_how_GHG_emissions_reduction_targets_and_or_any_other_targets_have_been,2,success,
urn:sds:reg:esrs:e1_4_02,ESRS Official,E,urn:ngsi-ld:Dataset:esrs_e1_4_02,urn:ngsi-ld:Indicator:Tables_Multiple_Dimensions_baseline_year_and_targets_GHG_Types_Scope_3_Categories_Decarbonisatio,2,success,
urn:sds:reg:esrs:e1_4_03,ESRS Official,E,urn:ngsi-ld:Dataset:esrs_e1_4_03,urn:ngsi-ld:Indicator:Absolute_value_of_total_Greenhouse_gas_emissions_reduction,2,success,
urn:sds:reg:esrs:e1_4_04,ESRS Official,E,urn:ngsi-ld:Dataset:esrs_e1_4_04,urn:ngsi-ld:Indicator:Percentage_of_total_Greenhouse_gas_emissions_reduction_as_of_emissions_of_base_year_,2,success,
urn:sds:reg:esrs:e1_4_05,ESRS Official,E,urn:ngsi-ld:Dataset:esrs_e1_4_05,urn:ngsi-ld:Indicator:Intensity_value_of_total_Greenhouse_gas_emissions_reduction,2,success,
urn:sds:reg:esrs:e1_4_06,ESRS Official,E,urn:ngsi-ld:Dataset:esrs_e1_4_06,urn:ngsi-ld:Indicator:Absolute_value_of_Scope_1_Greenhouse_gas_emissions_reduction,2,success,
urn:sds:reg:esrs:e1_4_07,ESRS Official,E,urn:ngsi-ld:Dataset:esrs_e1_4_07,urn:ngsi-ld:Indicator:Percentage_of_Scope_1_Greenhouse_gas_emissions_reduction_as_of_emissions_of_base_year_,2,success,
urn:sds:reg:esrs:e1_4_08,ESRS Official,E,urn:ngsi-ld:Dataset:esrs_e1_4_08,urn:ngsi-ld:Indicator:Intensity_value_of_Scope_1_Greenhouse_gas_emissions_reduction,2,success,
urn:sds:reg:esrs:e1_4_09,ESRS Official,E,urn:ngsi-ld:Dataset:esrs_e1_4_09,urn:ngsi-ld:Indicator:Absolute_value_of_location-based_Scope_2_Greenhouse_gas_emissions_reduction,2,success,
urn:sds:reg:esrs:e1_4_10,ESRS Official,E,urn:ngsi-ld:Dataset:esrs_e1_4_10,urn:ngsi-ld:Indicator:Percentage_of_location-based_Scope_2_Greenhouse_gas_emissions_reduction_as_of_emissions_of_base_,2,success,
urn:sds:reg:esrs:e1_4_11,ESRS Official,E,urn:ngsi-ld:Dataset:esrs_e1_4_11,urn:ngsi-ld:Indicator:Intensity_value_of_location-based_Scope_2_Greenhouse_gas_emissions_reduction,2,success,
urn:sds:reg:esrs:e1_4_12,ESRS Official,E,urn:ngsi-ld:Dataset:esrs_e1_4_12,urn:ngsi-ld:Indicator:Absolute_value_of_market-based_Scope_2_Greenhouse_gas_emissions_reduction,2,success,
urn:sds:reg:esrs:e1_4_13,ESRS Official,E,urn:ngsi-ld:Dataset:esrs_e1_4_13,urn:ngsi-ld:Indicator:Percentage_of_market-based_Scope_2_Greenhouse_gas_emissions_reduction_as_of_emissions_of_base_ye,2,success,
urn:sds:reg:esrs:e1_4_14,ESRS Official,E,urn:ngsi-ld:Dataset:esrs_e1_4_14,urn:ngsi-ld:Indicator:Intensity_value_of_market-based_Scope_2_Greenhouse_gas_emissions_reduction,2,success,
